District Name,Modal Price (Rs./Quintal),Rainfall,Date,Year,Month,Fertilizer,Petrol Price,Lag_Price,Rolling_Rainfall
13,1800,0,03-01-2021,2021,1,13155.95,84.34,1600,34.37037037
7,2500,0,03-01-2021,2021,1,13155.95,84.34,2400,67.38333333
7,2500,0,03-01-2021,2021,1,13155.95,84.34,2200,47.42083333
13,2000,0,03-01-2021,2021,1,13155.95,84.34,2000,0
21,1600,0,03-01-2021,2021,1,13155.95,84.34,1500,0
14,2000,0.592307692,03-01-2021,2021,1,13155.95,84.34,2000,117.1717949
20,2000,0,03-01-2021,2021,1,13155.95,84.34,2000,82.23333333
11,2000,11.14,03-01-2021,2021,1,13155.95,84.34,2000,75.66
14,2000,0.592307692,03-01-2021,2021,1,13155.95,84.34,2000,17.48461538
8,1200,0,03-01-2023,2023,1,20086.58,104.9,1200,113.7469697
11,1600,0,03-01-2023,2023,1,20086.58,104.9,1600,23.30666667
2,2200,0,03-01-2023,2023,1,20086.58,104.9,2000,41.14666667
2,2100,0,03-01-2023,2023,1,20086.58,104.9,2000,111.3972222
1,900,0,03-01-2023,2023,1,20086.58,104.9,900,73.60833333
21,1500,0,03-01-2023,2023,1,20086.58,104.9,1500,185.4454545
3,1300,0.714285714,03-01-2023,2023,1,20086.58,104.9,1300,23.67619048
9,1600,0,03-01-2023,2023,1,20086.58,104.9,1600,182.5925926
14,2000,0.161538462,03-01-2023,2023,1,20086.58,104.9,2000,269.9102564
7,1400,0,03-01-2023,2023,1,20086.58,104.9,1200,1.8
14,2000,0.161538462,03-01-2023,2023,1,20086.58,104.9,2000,58.54102564
20,2000,0,03-01-2023,2023,1,20086.58,104.9,2000,20.04666667
20,2000,0,03-01-2023,2023,1,20086.58,104.9,2000,94.61333333
14,2000,0.161538462,03-01-2023,2023,1,20086.58,104.9,2000,91.51794872
1,750,0,03-01-2023,2023,1,20086.58,104.9,700,0.083333333
1,2100,0,04-01-2021,2021,1,13155.95,84.34,1400,266.0916667
2,2200,1.75,04-01-2021,2021,1,13155.95,84.34,2100,111.9805556
0,2800,0,04-01-2021,2021,1,13155.95,84.34,2500,62.90833333
0,2800,0,04-01-2021,2021,1,13155.95,84.34,2500,232.4875
3,1900,0,04-01-2021,2021,1,13155.95,84.34,1800,191.4666667
6,2500,0,04-01-2021,2021,1,13155.95,84.34,2000,157.5487179
11,2000,11.14,04-01-2021,2021,1,13155.95,84.34,2000,52.2
1,2050,0,04-01-2021,2021,1,13155.95,84.34,1950,114.1722222
7,2500,0,04-01-2021,2021,1,13155.95,84.34,2000,69.5
13,2000,0,04-01-2021,2021,1,13155.95,84.34,1600,179.7777778
13,1850,0,04-01-2021,2021,1,13155.95,84.34,1600,77.40740741
8,2500,2.209090909,04-01-2021,2021,1,13155.95,84.34,2500,163.9969697
14,2500,0.592307692,04-01-2021,2021,1,13155.95,84.34,2000,0.448717949
14,2000,0.592307692,04-01-2021,2021,1,13155.95,84.34,2000,46.28974359
7,3000,0,04-01-2021,2021,1,13155.95,84.34,3000,183.6833333
20,2500,0,04-01-2021,2021,1,13155.95,84.34,2500,8.08
13,1850,0,04-01-2021,2021,1,13155.95,84.34,1600,121.7407407
7,2500,0,04-01-2021,2021,1,13155.95,84.34,2000,14.84166667
1,2100,0,04-01-2021,2021,1,13155.95,84.34,1550,125.6555556
8,2200,2.209090909,04-01-2021,2021,1,13155.95,84.34,2100,0.954545455
0,1600,0,04-01-2023,2023,1,20086.58,104.9,1500,272.8
2,2600,0,04-01-2023,2023,1,20086.58,104.9,2500,145.5027778
13,1500,0.777777778,04-01-2023,2023,1,20086.58,104.9,1500,145.6666667
8,1200,0,04-01-2023,2023,1,20086.58,104.9,1200,0.309090909
21,1400,0,04-01-2023,2023,1,20086.58,104.9,1400,2.460606061
3,1300,0.714285714,04-01-2023,2023,1,20086.58,104.9,1300,91.8
2,2500,0,04-01-2023,2023,1,20086.58,104.9,2500,215.6583333
12,1800,0,04-01-2023,2023,1,20086.58,104.9,1500,8.697435897
9,1700,0,04-01-2023,2023,1,20086.58,104.9,1700,135.625
14,2000,0.161538462,04-01-2023,2023,1,20086.58,104.9,2000,91.51794872
14,2000,0.161538462,04-01-2023,2023,1,20086.58,104.9,2000,134.1820513
1,750,0,04-01-2023,2023,1,20086.58,104.9,700,30.88888889
7,1400,0,04-01-2023,2023,1,20086.58,104.9,1400,55.93333333
1,800,0,04-01-2023,2023,1,20086.58,104.9,600,113.7533333
14,2000,0.161538462,04-01-2023,2023,1,20086.58,104.9,2000,6.033333333
7,1500,0,04-01-2023,2023,1,20086.58,104.9,1400,20.84166667
20,2000,0,04-01-2023,2023,1,20086.58,104.9,2000,20.04666667
0,1800,0,05-01-2021,2021,1,13155.95,84.34,1600,136.6083333
0,2800,0,05-01-2021,2021,1,13155.95,84.34,2500,33.49583333
6,2000,0,05-01-2021,2021,1,13155.95,84.34,2200,18.74358974
13,2000,0,05-01-2021,2021,1,13155.95,84.34,2000,0
1,2300,0,05-01-2021,2021,1,13155.95,84.34,2100,109.6111111
12,3000,0,05-01-2021,2021,1,13155.95,84.34,2800,48.63333333
7,2500,0,05-01-2021,2021,1,13155.95,84.34,2500,127.8458333
7,2500,0,05-01-2021,2021,1,13155.95,84.34,2000,2.258333333
2,2200,1.75,05-01-2021,2021,1,13155.95,84.34,2000,216.2416667
13,2000,0,05-01-2021,2021,1,13155.95,84.34,1900,0
13,1900,0,05-01-2021,2021,1,13155.95,84.34,1400,233.0740741
14,2000,0.592307692,05-01-2021,2021,1,13155.95,84.34,2000,131.5692308
13,1850,0,05-01-2021,2021,1,13155.95,84.34,1500,228.4444444
13,1900,0,05-01-2021,2021,1,13155.95,84.34,1300,63.81481481
13,1850,0,05-01-2021,2021,1,13155.95,84.34,1500,121.7407407
11,2000,11.14,05-01-2021,2021,1,13155.95,84.34,2000,68.7
14,2000,0.592307692,05-01-2021,2021,1,13155.95,84.34,2000,9.605128205
8,2500,2.209090909,05-01-2021,2021,1,13155.95,84.34,2400,164.080303
7,2500,0,05-01-2021,2021,1,13155.95,84.34,2500,56.91666667
1,1450,0,05-01-2021,2021,1,13155.95,84.34,1350,2.861111111
2,2400,0,05-01-2023,2023,1,20086.58,104.9,2300,196.6666667
0,1800,0,05-01-2023,2023,1,20086.58,104.9,1700,136.4
0,1800,0,05-01-2023,2023,1,20086.58,104.9,1500,136.4
20,2000,0,05-01-2023,2023,1,20086.58,104.9,2000,101.6333333
14,2000,0.161538462,05-01-2023,2023,1,20086.58,104.9,2000,88.83589744
10,700,0,05-01-2023,2023,1,20086.58,104.9,700,0.3
13,1400,0.777777778,05-01-2023,2023,1,20086.58,104.9,1300,15.23703704
12,2000,0,05-01-2023,2023,1,20086.58,104.9,2000,14.57435897
2,2600,0,05-01-2023,2023,1,20086.58,104.9,2600,47.68333333
20,2000,0,05-01-2023,2023,1,20086.58,104.9,2000,0
13,1500,0.777777778,05-01-2023,2023,1,20086.58,104.9,1400,125.5185185
7,1200,0,05-01-2023,2023,1,20086.58,104.9,1200,0
13,1500,0.777777778,05-01-2023,2023,1,20086.58,104.9,1400,89.35185185
8,1200,0,05-01-2023,2023,1,20086.58,104.9,1200,0.154545455
7,1400,0,05-01-2023,2023,1,20086.58,104.9,1400,55.93333333
21,1400,0,05-01-2023,2023,1,20086.58,104.9,1350,241.4878788
9,1600,0,05-01-2023,2023,1,20086.58,104.9,1500,111.3916667
13,1400,0.777777778,05-01-2023,2023,1,20086.58,104.9,1350,71.56296296
11,1600,0,05-01-2023,2023,1,20086.58,104.9,1600,11.65333333
1,850,0,05-01-2023,2023,1,20086.58,104.9,850,73.525
14,2000,0.161538462,05-01-2023,2023,1,20086.58,104.9,2000,71.83589744
14,2000,0.161538462,05-01-2023,2023,1,20086.58,104.9,2000,61.96923077
12,1500,0,05-01-2023,2023,1,20086.58,104.9,1500,91.46410256
0,2800,0,06-01-2021,2021,1,13155.95,84.34,2500,167.6041667
1,2100,0,06-01-2021,2021,1,13155.95,84.34,1400,147.05
2,1800,1.75,06-01-2021,2021,1,13155.95,84.34,1700,19.975
6,2400,0,06-01-2021,2021,1,13155.95,84.34,2000,121.2769231
11,2000,11.14,06-01-2021,2021,1,13155.95,84.34,2000,10.9
20,2000,0,06-01-2021,2021,1,13155.95,84.34,1500,4.96
13,1900,0,06-01-2021,2021,1,13155.95,84.34,1500,117.4074074
7,2400,0,06-01-2021,2021,1,13155.95,84.34,2400,6.25
3,1600,0,06-01-2021,2021,1,13155.95,84.34,1500,53.93809524
7,2500,0,06-01-2021,2021,1,13155.95,84.34,2000,2.258333333
13,1800,0,06-01-2021,2021,1,13155.95,84.34,1500,121.7407407
20,1500,0,06-01-2021,2021,1,13155.95,84.34,1200,14.92666667
7,2500,0,06-01-2021,2021,1,13155.95,84.34,2500,66.25416667
1,1450,0,06-01-2021,2021,1,13155.95,84.34,1450,20.60833333
13,1900,0,06-01-2021,2021,1,13155.95,84.34,1400,206.8518519
13,2000,0,06-01-2021,2021,1,13155.95,84.34,1600,179.7777778
9,3300,0,06-01-2021,2021,1,13155.95,84.34,3200,0
21,2700,0,06-01-2021,2021,1,13155.95,84.34,2700,179.1939394
14,2000,0.592307692,06-01-2021,2021,1,13155.95,84.34,2000,36.47179487
14,2000,0.592307692,06-01-2021,2021,1,13155.95,84.34,2000,40.75128205
0,3000,0,06-01-2021,2021,1,13155.95,84.34,2800,0
13,2200,0,06-01-2021,2021,1,13155.95,84.34,1900,0
14,2500,0.592307692,06-01-2021,2021,1,13155.95,84.34,2000,0.592307692
0,1800,0,06-01-2023,2023,1,20086.58,104.9,1800,184.9583333
0,2000,0,06-01-2023,2023,1,20086.58,104.9,1800,220.5333333
7,1400,0,06-01-2023,2023,1,20086.58,104.9,1300,256.6666667
14,2000,0.161538462,06-01-2023,2023,1,20086.58,104.9,2000,100.025641
9,1650,0,06-01-2023,2023,1,20086.58,104.9,1600,84.54166667
2,2600,0,06-01-2023,2023,1,20086.58,104.9,2500,41.24166667
21,1500,0,06-01-2023,2023,1,20086.58,104.9,1500,0
2,2400,0,06-01-2023,2023,1,20086.58,104.9,2300,84.29166667
13,1500,0.777777778,06-01-2023,2023,1,20086.58,104.9,1400,67.74074074
11,1600,0,06-01-2023,2023,1,20086.58,104.9,1600,46.4
8,1200,0,06-01-2023,2023,1,20086.58,104.9,1200,0.309090909
7,1200,0,06-01-2023,2023,1,20086.58,104.9,1200,1.8
14,2000,0.161538462,06-01-2023,2023,1,20086.58,104.9,2000,0.053846154
13,1500,0.777777778,06-01-2023,2023,1,20086.58,104.9,1500,201.6
10,650,0,06-01-2023,2023,1,20086.58,104.9,640,0
23,1400,0,06-01-2023,2023,1,20086.58,104.9,1350,100.7962963
1,750,0,06-01-2023,2023,1,20086.58,104.9,750,59.39444444
0,2800,0,07-01-2021,2021,1,13155.95,84.34,2800,98.37916667
8,2200,2.209090909,07-01-2021,2021,1,13155.95,84.34,2200,205.7030303
0,2800,0,07-01-2021,2021,1,13155.95,84.34,2500,129.8333333
2,2000,1.75,07-01-2021,2021,1,13155.95,84.34,2000,108.2861111
11,2000,11.14,07-01-2021,2021,1,13155.95,84.34,2000,47.26666667
2,2000,1.75,07-01-2021,2021,1,13155.95,84.34,1900,1.166666667
14,2500,0.592307692,07-01-2021,2021,1,13155.95,84.34,2500,2.653846154
20,1600,0,07-01-2021,2021,1,13155.95,84.34,1500,43.08
5,2500,0,07-01-2021,2021,1,13155.95,84.34,2500,0
1,1350,0,07-01-2021,2021,1,13155.95,84.34,1300,97.27777778
3,1700,0,07-01-2021,2021,1,13155.95,84.34,1700,0
6,2000,0,07-01-2021,2021,1,13155.95,84.34,2000,67.37435897
13,2000,0,07-01-2021,2021,1,13155.95,84.34,1500,179.7777778
8,2000,2.209090909,07-01-2021,2021,1,13155.95,84.34,2000,111.7212121
0,1900,0,07-01-2021,2021,1,13155.95,84.34,1600,49.3625
7,2500,0,07-01-2021,2021,1,13155.95,84.34,2000,1.129166667
3,1700,0,07-01-2021,2021,1,13155.95,84.34,1500,35.21904762
14,2500,0.592307692,07-01-2021,2021,1,13155.95,84.34,2000,1.623076923
7,2500,0,07-01-2021,2021,1,13155.95,84.34,2500,1.129166667
14,2000,0.592307692,07-01-2021,2021,1,13155.95,84.34,2000,40.75128205
7,2500,0,07-01-2021,2021,1,13155.95,84.34,2000,56.91666667
0,1800,0,07-01-2023,2023,1,20086.58,104.9,1700,1.866666667
8,1300,0,07-01-2023,2023,1,20086.58,104.9,1300,117.3757576
13,1400,0.777777778,07-01-2023,2023,1,20086.58,104.9,1400,127.8888889
7,1200,0,07-01-2023,2023,1,20086.58,104.9,1200,0
14,2000,0.161538462,07-01-2023,2023,1,20086.58,104.9,2000,70.94615385
14,1200,0.161538462,07-01-2023,2023,1,20086.58,104.9,700,0.107692308
20,2100,0,07-01-2023,2023,1,20086.58,104.9,2100,20.04666667
1,850,0,07-01-2023,2023,1,20086.58,104.9,850,225.5444444
