District Name,Modal Price (Rs./Quintal),Rainfall,Date,Year,Month,Fertilizer,Petrol Price,Day,Weekday,Quarter,Fertilizer_Rainfall_Interaction,Lag_Price,Monthly_Avg_Price,Rolling_Rainfall
0,2000,39.77500000000001,2021-12-06,2021,12,17436.76,101.81,6,0,4,693547.1290000002,1800.0,1895.4545454545455,150.86250000000004
0,2000,277.7375,2023-06-08,2023,6,20000.0,100.89,8,3,2,5554750.0,2000.0,2027.7777777777778,159.30833333333334
0,2000,39.77500000000001,2021-12-12,2021,12,17436.76,101.81,12,6,4,693547.1290000002,2000.0,1895.4545454545455,106.64166666666667
0,2000,39.77500000000001,2021-12-18,2021,12,17436.76,101.81,18,5,4,693547.1290000002,2000.0,1895.4545454545455,27.320833333333344
0,2000,145.675,2021-06-30,2021,6,15319.2,95.22,30,2,2,2231624.4600000004,2000.0,1946.6666666666667,145.95000000000005
0,2000,0.0,2022-11-09,2022,11,20393.6,104.06,9,2,4,0.0,2000.0,2271.4285714285716,132.69166666666672
0,2500,0.4,2022-04-14,2022,4,22000.0,108.65,14,3,2,8800.0,2000.0,2072.222222222222,111.92500000000001
0,2500,94.3625,2022-10-02,2022,10,20000.0,104.9,2,6,4,1887250.0,2500.0,2495.6521739130435,165.69583333333335
0,2500,100.4875,2022-09-13,2022,9,20000.0,103.01,13,1,3,2009750.0,2500.0,2493.478260869565,199.05833333333337
0,2500,94.3625,2022-10-18,2022,10,20000.0,104.9,18,1,4,1887250.0,2500.0,2495.6521739130435,96.40416666666668
0,2800,0.0,2021-01-03,2021,1,13155.95,84.34,3,6,1,0.0,2500.0,2743.396226415094,64.95
0,2500,125.575,2023-10-02,2023,10,20000.0,103.18,2,0,4,2511500.0,2000.0,2028.5714285714287,96.97500000000002
0,1800,39.77500000000001,2021-12-01,2021,12,17436.76,101.81,1,2,4,693547.1290000002,2500.0,1895.4545454545455,96.97500000000002
0,2100,125.575,2023-10-13,2023,10,20000.0,103.18,13,4,4,2511500.0,2000.0,2028.5714285714287,162.24583333333334
0,2700,35.7625,2021-11-26,2021,11,16768.55,110.69,26,4,4,599685.269375,2000.0,1964.1509433962265,153.64583333333334
0,1000,5.6,2021-04-01,2021,4,14823.51,91.28,1,3,2,83011.656,2700.0,1412.7272727272727,113.65416666666668
0,1000,4.4,2021-03-08,2021,3,13603.08,91.9,8,0,1,59853.552,1000.0,1011.4754098360655,15.254166666666668
0,1000,4.4,2021-03-17,2021,3,13603.08,91.9,17,2,1,59853.552,1000.0,1011.4754098360655,4.8
0,1000,4.4,2021-03-19,2021,3,13603.08,91.9,19,4,1,59853.552,1000.0,1011.4754098360655,4.4
0,1400,409.2,2021-09-24,2021,9,16213.6,102.18,24,4,3,6634605.12,1000.0,1492.5925925925926,139.33333333333334
0,1500,46.6375,2021-10-01,2021,10,16386.48,102.76,1,4,4,764224.461,1400.0,1853.061224489796,153.4125
0,1500,409.2,2021-09-23,2021,9,16213.6,102.18,23,3,3,6634605.12,1500.0,1492.5925925925926,288.3458333333333
0,1500,409.2,2021-09-15,2021,9,16213.6,102.18,15,2,3,6634605.12,1500.0,1492.5925925925926,288.3458333333333
0,1600,5.6,2021-04-20,2021,4,14823.51,91.28,20,1,2,83011.656,1500.0,1412.7272727272727,274.66666666666663
0,1700,0.0,2022-03-15,2022,3,21496.5,101.81,15,1,1,0.0,1600.0,1804.3478260869565,138.26666666666668
0,1800,0.0,2022-03-08,2022,3,21496.5,101.81,8,1,1,0.0,1700.0,1804.3478260869565,1.8666666666666665
0,1800,35.7625,2021-11-06,2021,11,16768.55,110.69,6,5,4,599685.269375,1800.0,1964.1509433962265,23.84583333333333
0,1800,145.675,2021-06-03,2021,6,15319.2,95.22,3,3,2,2231624.4600000004,1500.0,1946.6666666666667,65.57083333333334
0,1800,0.0,2022-03-11,2022,3,21496.5,101.81,11,4,1,0.0,1800.0,1804.3478260869565,64.10416666666667
0,1800,0.0,2022-03-14,2022,3,21496.5,101.81,14,0,1,0.0,1800.0,1804.3478260869565,48.55833333333334
0,1000,5.6,2021-04-02,2021,4,14823.51,91.28,2,4,2,83011.656,1800.0,1412.7272727272727,1.8666666666666665
0,1000,4.4,2021-03-03,2021,3,13603.08,91.9,3,2,1,59853.552,1000.0,1011.4754098360655,3.3333333333333335
0,1000,4.4,2021-03-23,2021,3,13603.08,91.9,23,1,1,59853.552,1000.0,1011.4754098360655,4.8
0,1500,42.1875,2023-03-10,2023,3,20000.0,103.35,10,4,1,843750.0,1200.0,1575.0,15.737499999999999
0,1400,409.2,2021-09-10,2021,9,16213.6,102.18,10,4,3,6634605.12,1500.0,1492.5925925925926,150.67083333333332
0,1500,409.2,2021-09-13,2021,9,16213.6,102.18,13,0,3,6634605.12,1400.0,1492.5925925925926,286.8625
0,1500,409.2,2021-09-19,2021,9,16213.6,102.18,19,6,3,6634605.12,1500.0,1492.5925925925926,409.2
0,1600,0.4,2022-04-03,2022,4,22000.0,108.65,3,6,2,8800.0,1500.0,2072.222222222222,272.93333333333334
0,1800,46.6375,2021-10-29,2021,10,16386.48,102.76,29,4,4,764224.461,2000.0,1853.061224489796,16.483333333333334
0,2000,277.7375,2023-06-09,2023,6,20000.0,100.89,9,4,2,5554750.0,2000.0,2027.7777777777778,188.63750000000005
0,2000,145.675,2021-06-13,2021,6,15319.2,95.22,13,6,2,2231624.4600000004,2000.0,1946.6666666666667,153.0625
0,2000,277.7375,2023-06-20,2023,6,20000.0,100.89,20,1,2,5554750.0,2000.0,2027.7777777777778,181.5875
0,2000,145.675,2021-06-21,2021,6,15319.2,95.22,21,0,2,2231624.4600000004,2000.0,1946.6666666666667,181.5875
0,2000,33.425,2023-05-28,2023,5,20000.0,101.88,28,6,2,668500.0,2000.0,2014.7058823529412,152.27916666666667
0,2000,145.675,2021-06-01,2021,6,15319.2,95.22,1,1,2,2231624.4600000004,2000.0,1946.6666666666667,108.25833333333334
0,2000,145.675,2021-06-16,2021,6,15319.2,95.22,16,2,2,2231624.4600000004,2000.0,1946.6666666666667,108.25833333333334
0,2000,46.6375,2021-10-20,2021,10,16386.48,102.76,20,2,4,764224.461,2000.0,1853.061224489796,112.66250000000001
0,2000,145.675,2021-06-24,2021,6,15319.2,95.22,24,3,2,2231624.4600000004,2000.0,1946.6666666666667,112.66250000000001
0,2000,266.3625,2023-09-14,2023,9,20000.0,103.43,14,3,3,5327250.0,2000.0,2064.285714285714,152.89166666666668
0,2200,266.3625,2023-09-03,2023,9,20000.0,103.43,3,6,3,5327250.0,2000.0,2064.285714285714,226.13333333333335
0,2200,65.56250000000001,2022-05-04,2022,5,21834.1,112.5,4,2,2,1431498.1812500001,2200.0,2400.0,199.4291666666667
0,2200,35.7625,2021-11-28,2021,11,16768.55,110.69,28,6,4,599685.269375,2200.0,1964.1509433962265,122.5625
0,2500,0.4,2022-04-11,2022,4,22000.0,108.65,11,0,2,8800.0,2500.0,2072.222222222222,31.795833333333334
0,2500,100.4875,2022-09-16,2022,9,20000.0,103.01,16,4,3,2009750.0,2500.0,2493.478260869565,33.8375
0,2500,65.56250000000001,2022-05-17,2022,5,21834.1,112.5,17,1,2,1431498.1812500001,2500.0,2400.0,55.48333333333334
0,2500,94.3625,2022-10-21,2022,10,20000.0,104.9,21,4,4,1887250.0,2500.0,2495.6521739130435,86.80416666666667
0,2500,35.7625,2021-11-25,2021,11,16768.55,110.69,25,3,4,599685.269375,2500.0,1964.1509433962265,65.22916666666667
0,2000,266.3625,2023-09-16,2023,9,20000.0,103.43,16,5,3,5327250.0,1800.0,2064.285714285714,113.96666666666668
0,2000,266.3625,2023-09-29,2023,9,20000.0,103.43,29,4,3,5327250.0,2000.0,2064.285714285714,189.4958333333333
0,2000,266.3625,2023-09-03,2023,9,20000.0,103.43,3,6,3,5327250.0,2000.0,2064.285714285714,266.3625
0,1800,39.77500000000001,2021-12-22,2021,12,17436.76,101.81,22,2,4,693547.1290000002,2500.0,1895.4545454545455,209.17500000000004
0,1000,4.4,2021-03-27,2021,3,13603.08,91.9,27,5,1,59853.552,1900.0,1011.4754098360655,26.650000000000006
0,2500,125.575,2023-10-08,2023,10,20000.0,103.18,8,6,4,2511500.0,2000.0,2028.5714285714287,54.5875
0,2500,100.4875,2022-09-10,2022,9,20000.0,103.01,10,5,3,2009750.0,2500.0,2493.478260869565,87.27916666666665
0,2500,164.15,2022-06-14,2022,6,20714.3,94.76,14,1,2,3400252.345,2500.0,2500.0,130.07083333333333
0,2500,100.4875,2022-09-20,2022,9,20000.0,103.01,20,1,3,2009750.0,2500.0,2493.478260869565,186.5916666666666
0,2500,100.4875,2022-09-25,2022,9,20000.0,103.01,25,6,3,2009750.0,2500.0,2493.478260869565,301.71250000000003
0,3000,0.0,2021-01-15,2021,1,13155.95,84.34,15,4,1,0.0,2500.0,2743.396226415094,167.60416666666666
2,1200,44.43333333333334,2023-04-03,2023,4,20000.0,103.01,3,0,2,888666.6666666667,3000.0,1725.7575757575758,48.30694444444445
2,1200,332.2083333333333,2021-09-06,2021,9,16213.6,102.18,6,0,3,5386293.033333333,1200.0,1143.2432432432433,125.54722222222222
2,1800,334.1916666666667,2023-09-04,2023,9,20000.0,103.43,4,0,3,6683833.333333334,1200.0,1968.75,236.94444444444446
2,1800,0.0,2023-11-06,2023,11,20000.0,102.64,6,0,4,0.0,1800.0,1915.625,222.13333333333335
0,1000,4.4,2021-03-09,2021,3,13603.08,91.9,9,1,1,59853.552,1900.0,1011.4754098360655,127.45833333333337
0,1000,4.4,2021-03-20,2021,3,13603.08,91.9,20,5,1,59853.552,1000.0,1011.4754098360655,44.791666666666664
0,1400,5.6,2021-04-18,2021,4,14823.51,91.28,18,6,2,83011.656,1200.0,1412.7272727272727,3.5416666666666665
0,1500,0.0,2022-12-18,2022,12,20536.79,103.25,18,6,4,0.0,1400.0,1611.111111111111,2.0749999999999997
0,1500,42.1875,2023-03-18,2023,3,20000.0,103.35,18,5,1,843750.0,1500.0,1575.0,15.929166666666667
0,1800,0.0,2022-12-19,2022,12,20536.79,103.25,19,0,4,0.0,1800.0,1611.111111111111,54.512499999999996
0,1700,5.6,2021-04-25,2021,4,14823.51,91.28,25,6,2,83011.656,1800.0,1412.7272727272727,42.31666666666666
0,2000,39.77500000000001,2021-12-01,2021,12,17436.76,101.81,1,2,4,693547.1290000002,1700.0,1895.4545454545455,15.125000000000005
0,2000,277.7375,2023-06-11,2023,6,20000.0,100.89,11,6,2,5554750.0,2000.0,2027.7777777777778,188.63750000000005
0,2000,160.4125,2021-05-26,2021,5,15295.14,91.12,26,2,2,2453531.6452499996,2000.0,1849.122807017544,178.0541666666667
0,2000,145.675,2021-06-23,2021,6,15319.2,95.22,23,2,2,2231624.4600000004,2000.0,1946.6666666666667,186.16250000000002
0,2000,160.4125,2021-05-29,2021,5,15295.14,91.12,29,5,2,2453531.6452499996,2000.0,1849.122807017544,186.16250000000002
0,2000,46.6375,2021-10-12,2021,10,16386.48,102.76,12,1,4,764224.461,2000.0,1853.061224489796,117.575
0,2500,100.4875,2022-09-04,2022,9,20000.0,103.01,4,6,3,2009750.0,2000.0,2493.478260869565,102.5125
0,2500,94.3625,2022-10-11,2022,10,20000.0,104.9,11,1,4,1887250.0,2500.0,2495.6521739130435,65.15833333333333
0,2500,100.4875,2022-09-17,2022,9,20000.0,103.01,17,5,3,2009750.0,2500.0,2493.478260869565,65.15833333333333
0,2500,100.4875,2022-09-20,2022,9,20000.0,103.01,20,1,3,2009750.0,2500.0,2493.478260869565,98.44583333333333
0,2800,0.0,2021-01-26,2021,1,13155.95,84.34,26,1,1,0.0,2500.0,2743.396226415094,232.48749999999995
0,1000,4.4,2021-03-26,2021,3,13603.08,91.9,26,4,1,59853.552,2000.0,1011.4754098360655,201.20000000000002
0,1700,5.6,2021-04-19,2021,4,14823.51,91.28,19,0,2,83011.656,1000.0,1412.7272727272727,3.5416666666666665
0,1800,0.0,2022-03-11,2022,3,21496.5,101.81,11,4,1,0.0,1700.0,1804.3478260869565,2.0749999999999997
0,1800,0.0,2022-11-11,2022,11,20393.6,104.06,11,4,4,0.0,1800.0,2271.4285714285716,1.8666666666666665
0,1800,0.4,2022-04-18,2022,4,22000.0,108.65,18,0,2,8800.0,1800.0,2072.222222222222,0.13333333333333333
0,1700,160.4125,2021-05-01,2021,5,15295.14,91.12,1,5,2,2453531.6452499996,1800.0,1849.122807017544,53.604166666666664
0,1700,5.6,2021-04-30,2021,4,14823.51,91.28,30,4,2,83011.656,1700.0,1412.7272727272727,55.47083333333333
0,1800,160.4125,2021-05-04,2021,5,15295.14,91.12,4,1,2,2453531.6452499996,1700.0,1849.122807017544,108.80833333333332
0,1800,160.4125,2021-05-15,2021,5,15295.14,91.12,15,5,2,2453531.6452499996,1800.0,1849.122807017544,108.80833333333332
0,1800,160.4125,2021-05-23,2021,5,15295.14,91.12,23,6,2,2453531.6452499996,1800.0,1849.122807017544,160.4125
0,2000,33.425,2023-05-08,2023,5,20000.0,101.88,8,0,2,668500.0,1800.0,2014.7058823529412,148.74583333333337
0,2000,35.7625,2021-11-08,2021,11,16768.55,110.69,8,0,4,599685.269375,2000.0,1964.1509433962265,107.19583333333337
